Año,mes,dia,incid
2017,12,28,132
2017,12,29,142
2017,12,30,109
2017,12,31,67
2018,1,1,51
2018,1,2,97
2018,1,3,137
2018,1,4,156
2018,1,5,189
2018,1,6,85
2018,1,7,81
2018,1,8,182
2018,1,9,194
2018,1,10,182
2018,1,11,176
2018,1,12,182
2018,1,13,123
2018,1,14,108
2018,1,15,230
2018,1,16,230
2018,1,17,189
2018,1,18,188
2018,1,19,201
2018,1,20,135
2018,1,21,97
2018,1,22,220
2018,1,23,194
2018,1,24,226
2018,1,25,187
2018,1,26,200
2018,1,27,136
2018,1,28,88
2018,1,29,175
2018,1,30,203
2018,1,31,163
2018,2,1,188
2018,2,2,220
2018,2,3,155
2018,2,4,89
2018,2,5,77
2018,2,6,223
2018,2,7,202
2018,2,8,170
2018,2,9,202
2018,2,10,134
2018,2,11,77
2018,2,12,195
2018,2,13,205
2018,2,14,203
2018,2,15,199
2018,2,16,218
2018,2,17,168
2018,2,18,96
2018,2,19,206
2018,2,20,194
2018,2,21,171
2018,2,22,203
2018,2,23,226
2018,2,24,130
2018,2,25,35
2018,2,26,170
2018,2,27,212
2018,2,28,189
